doc_id,Title,Abstract,Year
36227990,A viral arsenal.,SARS-CoV-2 wields versatile proteins to foil our immune system's counterattack.,2022
36201592,An advocate for Africa.,"With rigorous science and good-humored braggadocio, Tulio de Oliveira champions coronavirus research from the Global South.",2022
36201569,Partisanship and the pandemic,Political polarization shaped attitudes and outcomes related to COVID-19.,2022
36173850,University pandemic policies raise equity worries.,"Tenure delays and pandemic impact statements could backfire, some fear.",2022
36173845,New Omicron strains may portend big COVID-19 waves.,Emerging subvariants are more immune evasive than ever.,2022
36137017,Communicating with clarity.,"It's easy to be discouraged by the apparently grim state of science communication. Politicians and charlatans are promoting conspiracy theories about everything from COVID-19 to climate change. Scientists are ignored by friends and relatives who would rather believe the pseudoscientific claims of a huckster with a podcast. Experts who enter the political and public milieu sometimes find themselves unable to communicate clearly, creating confusion and disdain. In the midst of this angst, Alan Alda has emerged as an unassailable voice of hope and optimism, firm in the belief that better science communication is attainable and can be transformative.",2022
36108049,The evolving SARS-CoV-2 epidemic in Africa: Insights from rapidly expanding genomic surveillance.,"Investment in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) sequencing in Africa over the past year has led to a major increase in the number of sequences that have been generated and used to track the pandemic on the continent, a number that now exceeds 100,000 genomes. Our results show an increase in the number of African countries that are able to sequence domestically and highlight that local sequencing enables faster turnaround times and more-regular routine surveillance. Despite limitations of low testing proportions, findings from this genomic surveillance study underscore the heterogeneous nature of the pandemic and illuminate the distinct dispersal dynamics of variants of concern-particularly Alpha, Beta, Delta, and Omicron-on the continent. Sustained investment for diagnostics and genomic surveillance in Africa is needed as the virus continues to evolve while the continent faces many emerging and reemerging infectious disease threats. These investments are crucial for pandemic preparedness and response and will serve the health of the continent well into the 21st century.",2022
36108021,"Private venture tackles Long Covid, aims to test drugs soon.",Initiative to explore whether coronavirus lingers in patients.,2022
36074854,Understanding myalgic encephalomyelitis.,Myalgic encephalomyelitis and Long Covid have overlapping presentation.,2022
36074833,COVID-19 and children.,"There has been substantial research on adult COVID-19 and how to treat it. But how do severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections afflict children? The COVID-19 pandemic has yielded many surprises, not least that children generally develop less severe disease than older adults, which is unusual for a respiratory disease. However, some children can develop serious complications from COVID-19, such as multisystem inflammatory syndrome in children (MIS-C) and Long Covid, even after mild or asymptomatic COVID-19. Why this occurs in some and not others is an important question. Moreover, when children do contract COVID-19, understanding their role in transmission, especially in schools and at home, is crucial to ensuring effective mitigation measures. Therefore, in addition to nonpharmaceutical interventions, such as improved ventilation, there is a strong case to vaccinate children so as to reduce possible long-term effects from infection and to decrease transmission. But questions remain about whether vaccination might skew immune responses to variants in the long term. As the experts discuss below, more is being learned about these important issues, but much more research is needed to understand the long-term effects of COVID-19 in children.",2022
36074821,The human disease gene LYSET is essential for lysosomal enzyme transport and viral infection.,"Lysosomes are key degradative compartments of the cell. Transport to lysosomes relies on GlcNAc-1-phosphotransferase-mediated tagging of soluble enzymes with mannose 6-phosphate (M6P). GlcNAc-1-phosphotransferase deficiency leads to the severe lysosomal storage disorder mucolipidosis II (MLII). Several viruses require lysosomal cathepsins to cleave structural proteins and thus depend on functional GlcNAc-1-phosphotransferase. We used genome-scale CRISPR screens to identify lysosomal enzyme trafficking factor (LYSET, also named TMEM251) as essential for infection by cathepsin-dependent viruses including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). LYSET deficiency resulted in global loss of M6P tagging and mislocalization of GlcNAc-1-phosphotransferase from the Golgi complex to lysosomes. ",2022
36007042,The FDA and scientific priorities.,"Earlier this year, when I was confirmed as the new commissioner of the US Food and Drug Administration (FDA), the world faced ongoing public health issues related to the pandemic and war in Ukraine, among other challenges. Most notably, the US is experiencing a flattening or decline in life expectancy compared with other high-income countries. As part of a wider effort to reverse this decline, relationships between FDA and the biomedical ecosystem should be reimagined to facilitate more effective translation of science into successful health interventions.",2022
36007033,Wildlife trade is likely the source of SARS-CoV-2.,Multiple transmissions from wildlife at a market in Wuhan probably led to SARS-CoV-2 emergence.,2022
35981045,T cell immunity to COVID-19 vaccines.,T cell immunity may be critical for long-term protection by COVID-19 vaccines.,2022
35981036,Long Covid clues emerge from patients' blood.,"Study implicates lack of key hormone, battle-weary immune cells, and awakened viruses.",2022
35981032,Anywhere but here.,China now insists the pandemic didn't start within its borders. Its scientists are publishing a flurry of papers pointing the finger elsewhere.,2022
35926025,Making broader coronavirus vaccines is a struggle.,Efforts to protect against future variants or novel coronaviruses face funding constraints and other problems.,2022
35881010,The Huanan Seafood Wholesale Market in Wuhan was the early epicenter of the COVID-19 pandemic.,"Understanding how severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in 2019 is critical to preventing future zoonotic outbreaks before they become the next pandemic. The Huanan Seafood Wholesale Market in Wuhan, China, was identified as a likely source of cases in early reports, but later this conclusion became controversial. We show here that the earliest known COVID-19 cases from December 2019, including those without reported direct links, were geographically centered on this market. We report that live SARS-CoV-2-susceptible mammals were sold at the market in late 2019 and that within the market, SARS-CoV-2-positive environmental samples were spatially associated with vendors selling live mammals. Although there is insufficient evidence to define upstream events, and exact circumstances remain obscure, our analyses indicate that the emergence of SARS-CoV-2 occurred through the live wildlife trade in China and show that the Huanan market was the epicenter of the COVID-19 pandemic.",2022
35881005,The molecular epidemiology of multiple zoonotic origins of SARS-CoV-2.,"Understanding the circumstances that lead to pandemics is important for their prevention. We analyzed the genomic diversity of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) early in the coronavirus disease 2019 (COVID-19) pandemic. We show that SARS-CoV-2 genomic diversity before February 2020 likely comprised only two distinct viral lineages, denoted ""A"" and ""B."" Phylodynamic rooting methods, coupled with epidemic simulations, reveal that these lineages were the result of at least two separate cross-species transmission events into humans. The first zoonotic transmission likely involved lineage B viruses around 18 November 2019 (23 October to 8 December), and the separate introduction of lineage A likely occurred within weeks of this event. These findings indicate that it is unlikely that SARS-CoV-2 circulated widely in humans before November 2019 and define the narrow window between when SARS-CoV-2 first jumped into humans and when the first cases of COVID-19 were reported. As with other coronaviruses, SARS-CoV-2 emergence likely resulted from multiple zoonotic events.",2022
35857703,ACE2-binding exposes the SARS-CoV-2 fusion peptide to broadly neutralizing coronavirus antibodies.,"The coronavirus spike glycoprotein attaches to host receptors and mediates viral fusion. Using a broad screening approach, we isolated seven monoclonal antibodies (mAbs) that bind to all human-infecting coronavirus spike proteins from severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) immune donors. These mAbs recognize the fusion peptide and acquire affinity and breadth through somatic mutations. Despite targeting a conserved motif, only some mAbs show broad neutralizing activity in vitro against alpha- and betacoronaviruses, including animal coronaviruses WIV-1 and PDF-2180. Two selected mAbs also neutralize Omicron BA.1 and BA.2 authentic viruses and reduce viral burden and pathology in vivo. Structural and functional analyses showed that the fusion peptide-specific mAbs bound with different modalities to a cryptic epitope hidden in prefusion stabilized spike, which became exposed upon binding of angiotensin-converting enzyme 2 (ACE2) or ACE2-mimicking mAbs.",2022
35857620,Mosaic RBD nanoparticles protect against challenge by diverse sarbecoviruses in animal models.,"To combat future severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants and spillovers of SARS-like betacoronaviruses (sarbecoviruses) threatening global health, we designed mosaic nanoparticles that present randomly arranged sarbecovirus spike receptor-binding domains (RBDs) to elicit antibodies against epitopes that are conserved and relatively occluded rather than variable, immunodominant, and exposed. We compared immune responses elicited by mosaic-8 (SARS-CoV-2 and seven animal sarbecoviruses) and homotypic (only SARS-CoV-2) RBD nanoparticles in mice and macaques and observed stronger responses elicited by mosaic-8 to mismatched (not on nanoparticles) strains, including SARS-CoV and animal sarbecoviruses. Mosaic-8 immunization showed equivalent neutralization of SARS-CoV-2 variants, including Omicrons, and protected from SARS-CoV-2 and SARS-CoV challenges, whereas homotypic SARS-CoV-2 immunization protected only from SARS-CoV-2 challenge. Epitope mapping demonstrated increased targeting of conserved epitopes after mosaic-8 immunization. Together, these results suggest that mosaic-8 RBD nanoparticles could protect against SARS-CoV-2 variants and future sarbecovirus spillovers.",2022
35857614,Nailing the nuance on COVID-19.,"In messaging the public about COVID-19, brevity and simplicity are crucial. But so too is scientifically accurate and nuanced communication that tells people what the latest numbers mean and how they should influence behavior. Nearly 3 years into the pandemic, public health communicators continue to struggle to get this balance right.",2022
35857562,Bad news for Paxlovid? Resistance may be coming.,"In lab studies, SARS-CoV-2 finds ways to evade key drug. Some of the viral mutations are already found in people.",2022
35857529,Omicron spike function and neutralizing activity elicited by a comprehensive panel of vaccines.,"The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Omicron variant of concern comprises several sublineages, with BA.2 and BA.2.12.1 having replaced the previously dominant BA.1 and with BA.4 and BA.5 increasing in prevalence worldwide. We show that the large number of Omicron sublineage spike mutations leads to enhanced angiotensin-converting enzyme 2 (ACE2) binding, reduced fusogenicity, and severe dampening of plasma neutralizing activity elicited by infection or seven clinical vaccines relative to the ancestral virus. Administration of a homologous or heterologous booster based on the Wuhan-Hu-1 spike sequence markedly increased neutralizing antibody titers and breadth against BA.1, BA.2, BA.2.12.1, BA.4, and BA.5 across all vaccines evaluated. Our data suggest that although Omicron sublineages evade polyclonal neutralizing antibody responses elicited by primary vaccine series, vaccine boosters may provide sufficient protection against Omicron-induced severe disease.",2022
35857439,Broadly neutralizing antibodies target the coronavirus fusion peptide.,"The potential for future coronavirus outbreaks highlights the need to broadly target this group of pathogens. We used an epitope-agnostic approach to identify six monoclonal antibodies that bind to spike proteins from all seven human-infecting coronaviruses. All six antibodies target the conserved fusion peptide region adjacent to the S2' cleavage site. COV44-62 and COV44-79 broadly neutralize alpha- and betacoronaviruses, including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Omicron subvariants BA.2 and BA.4/5, albeit with lower potency than receptor binding domain-specific antibodies. In crystal structures of COV44-62 and COV44-79 antigen-binding fragments with the SARS-CoV-2 fusion peptide, the fusion peptide epitope adopts a helical structure and includes the arginine residue at the S2' cleavage site. COV44-79 limited disease caused by SARS-CoV-2 in a Syrian hamster model. These findings highlight the fusion peptide as a candidate epitope for next-generation coronavirus vaccine development.",2022
35771934,"Science, health, and truth.","The past 2 years have been a strange and difficult time for the world. The COVID-19 pandemic has brought illness, hospitalization, and death near to many people. In the United States, people are divided not only on what they should do but also on what constitutes the facts. Many are seemingly in an alternative world, driven by disinformation, conspiracy theories, and anti-science beliefs. How can health and medical leaders do their jobs while trying to cope with a polarized public? They must be more effective in explaining and persuading the public on matters of science and health. This will require better clarification of two things to the public-the roles of science and politics in public policy decisions, and the means by which scientific truth is established and updated.",2022
35762884,Shifting mutational constraints in the SARS-CoV-2 receptor-binding domain during viral evolution.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has evolved variants with substitutions in the spike receptor-binding domain (RBD) that affect its affinity for angiotensin-converting enzyme 2 (ACE2) receptor and recognition by antibodies. These substitutions could also shape future evolution by modulating the effects of mutations at other sites-a phenomenon called epistasis. To investigate this possibility, we performed deep mutational scans to measure the effects on ACE2 binding of all single-amino acid mutations in the Wuhan-Hu-1, Alpha, Beta, Delta, and Eta variant RBDs. Some substitutions, most prominently Asn",2022
35737812,Pathogen-sugar interactions revealed by universal saturation transfer analysis.,"Many pathogens exploit host cell-surface glycans. However, precise analyses of glycan ligands binding with heavily modified pathogen proteins can be confounded by overlapping sugar signals and/or compounded with known experimental constraints. Universal saturation transfer analysis (uSTA) builds on existing nuclear magnetic resonance spectroscopy to provide an automated workflow for quantitating protein-ligand interactions. uSTA reveals that early-pandemic, B-origin-lineage severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) spike trimer binds sialoside sugars in an ""end-on"" manner. uSTA-guided modeling and a high-resolution cryo-electron microscopy structure implicate the spike N-terminal domain (NTD) and confirm end-on binding. This finding rationalizes the effect of NTD mutations that abolish sugar binding in SARS-CoV-2 variants of concern. Together with genetic variance analyses in early pandemic patient cohorts, this binding implicates a sialylated polylactosamine motif found on tetraantennary N-linked glycoproteins deep in the human lung as potentially relevant to virulence and/or zoonosis.",2022
35737809,"Pathogenicity, transmissibility, and fitness of SARS-CoV-2 Omicron in Syrian hamsters.","The in vivo pathogenicity, transmissibility, and fitness of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Omicron (B.1.1.529) variant are not well understood. We compared these virological attributes of this new variant of concern (VOC) with those of the Delta (B.1.617.2) variant in a Syrian hamster model of COVID-19. Omicron-infected hamsters lost significantly less body weight and exhibited reduced clinical scores, respiratory tract viral burdens, cytokine and chemokine dysregulation, and lung damage than Delta-infected hamsters. Both variants were highly transmissible through contact transmission. In noncontact transmission studies Omicron demonstrated similar or higher transmissibility than Delta. Delta outcompeted Omicron without selection pressure, but this scenario changed once immune selection pressure with neutralizing antibodies-active against Delta but poorly active against Omicron-was introduced. Next-generation vaccines and antivirals effective against this new VOC are therefore urgently needed.",2022
